ssc_code,"suburb","urban_area",postcode,"state","state_name","type","local_goverment_area","statistic_area",elevation,population,median_income,sqkm,lat,lng,"timezone"
11428,"Epping","Hornsby - Ku-ring-gai",2121,"NSW","New South Wales","Major Urban locality","Parramatta (City)","Greater Sydney",101,23688,37024,6.838,-33.77377,151.07681,"Australia/Sydney"
13675,"Strathfield","Burwood",2135,"NSW","New South Wales","Major Urban locality","Burwood (Area)","Greater Sydney",43,25813,34424,6.572,-33.87913,151.08118,"Australia/Sydney"
